a,b,output
43,49,92
24,63,87
21,27,48
90,70,63
14,59,73
26,31,57
50,52,5
87,84,74
28,45,73
93,65,61
49,47,96
53,15,68
13,9,22
62,27,89
43,29,72
25,23,48
55,15,70
67,35,5
55,85,43
69,5,74
26,60,86
4,13,17
13,39,52
18,67,85
41,77,21
55,38,93
70,88,61
54,46,3
17,89,9
9,41,50
59,15,74
69,7,76
9,29,38
60,31,91
62,87,52
93,16,12
52,21,73
13,54,67
0,18,18
86,61,50
4,91,95
52,43,95
29,34,63
68,67,38
68,14,82
41,19,60
55,93,51
1,47,48
89,22,14
50,70,23
43,33,76
28,75,6
68,64,35
5,3,8
87,66,56
74,50,27
48,93,44
92,47,42
75,86,64
81,62,46
26,25,51
5,1,6
38,52,90
47,81,31
95,88,86
15,78,93
84,32,19
68,81,52
66,15,81
43,83,29
81,67,51
72,2,74
53,54,10
92,62,57
73,25,1
1,54,55
85,49,37
92,36,31
80,12,92
46,74,23
14,82,96
5,80,85
82,84,69
24,53,77
91,6,0
66,39,8
19,34,53
11,8,19
27,66,93
94,88,85
15,7,22
33,62,95
68,56,27
48,77,28
10,75,85
70,39,12
36,84,23
91,3,94
13,70,83
78,12,90
78,56,37
39,69,11
96,75,74
73,56,32
11,1,12
10,73,83
8,50,58
65,25,90
24,35,59
77,73,53
96,90,89
25,71,96
32,87,22
18,46,64
81,65,49
34,34,68
45,15,60
96,27,26
20,87,10
79,51,33
35,81,19
1,63,64
54,90,47
59,40,2
83,4,87
41,71,15
0,6,6
82,20,5
53,7,60
42,82,27
95,43,41
45,86,34
53,68,24
91,75,69
9,43,52
24,50,74
79,82,64
26,16,42
79,14,93
20,84,7
93,53,49
10,37,47
66,91,60
67,25,92
38,89,30
25,73,1
84,92,79
95,51,49
62,91,56
34,6,40
31,66,0
19,27,46
63,72,38
5,48,53
40,52,92
31,39,70
64,54,21
69,32,4
96,54,53
0,34,34
58,37,95
62,19,81
76,54,33
96,7,6
15,81,96
74,72,49
32,81,16
69,62,34
18,28,46
55,20,75
4,17,21
48,25,73
84,83,70
44,62,9
49,3,52
94,48,45
86,76,65
87,29,19
71,58,32
39,18,57
84,66,53
57,16,73
66,45,14
42,94,39
1,35,36
73,91,67
80,94,77
72,87,62
34,80,17
22,14,36
13,45,58
9,93,5
56,63,22
87,69,59
30,80,13
19,58,77
50,94,47
21,79,3
54,30,84
66,64,33
35,70,8
85,10,95
73,94,70
17,37,54
36,9,45
17,14,31
22,12,34
54,48,5
46,22,68
61,54,18
44,56,3
42,4,46
87,28,18
56,45,4
78,77,58
6,94,3
8,19,27
9,88,0
25,30,55
23,71,94
88,17,8
62,33,95
57,81,41
66,26,92
90,6,96
96,31,30
69,10,79
7,74,81
74,64,41
87,86,76
59,11,70
16,1,17
15,5,20
70,10,80
66,43,12
64,39,6
51,34,85
64,70,37
48,28,76
78,34,15
13,33,46
29,74,6
63,52,18
55,16,71
78,71,52
33,68,4
83,75,61
30,94,27
62,65,30
66,85,54
0,82,82
33,45,78
47,88,38
61,14,75
41,86,30
59,91,53
54,69,26
29,75,7
62,29,91
30,57,87
57,24,81
45,62,10
81,29,13
47,96,46
47,70,20
16,87,6
91,28,22
84,90,77
5,60,65
83,83,69
4,79,83
82,31,16
18,29,47
72,54,29
62,23,85
2,58,60
64,51,18
39,31,70
95,24,22
62,15,77
57,53,13
83,14,0
27,32,59
42,2,44
27,51,78
79,63,45
66,70,39
81,35,19
32,44,76
77,46,26
95,76,74
20,13,33
57,8,65
41,63,7
44,63,10
50,51,4
87,58,48
28,48,76
7,25,32
18,2,20
9,26,35
73,58,34
75,23,1
49,78,30
10,5,15
38,15,53
64,96,63
91,18,12
2,82,84
66,31,0
87,12,2
95,25,23
70,93,66
93,63,59
17,56,73
92,69,64
0,64,64
2,55,57
52,96,51
91,40,34
12,66,78
54,24,78
53,84,40
74,13,87
24,59,83
14,78,92
5,16,21
55,65,23
42,77,22
36,61,0
6,51,57
23,4,27
38,7,45
22,56,78
27,26,53
2,25,27
34,45,79
10,10,20
16,13,29
26,90,19
12,13,25
8,2,10
86,85,74
15,62,77
8,42,50
57,64,24
85,26,14
60,88,51
24,27,51
32,42,74
10,12,22
16,8,24
56,87,46
27,13,40
31,38,69
71,63,37
54,10,64
46,38,84
42,93,38
25,38,63
18,90,11
32,45,77
14,4,18
71,75,49
92,75,70
6,74,80
29,15,44
58,43,4
51,18,69
28,40,68
53,94,50
55,58,16
18,25,43
65,48,16
93,39,35
33,73,9
27,56,83
74,42,19
28,59,87
92,78,73
96,41,40
15,94,12
86,54,43
79,16,95
40,91,34
38,40,78
72,24,96
20,24,44
48,36,84
7,85,92
15,80,95
22,67,89
76,47,26
90,29,22
37,80,20
96,72,71
92,10,5
9,79,88
53,74,30
70,34,7
4,85,89
81,64,48
30,9,39
29,58,87
63,29,92
90,18,11
21,14,35
76,8,84
9,19,28
55,4,59
6,80,86
75,48,26
31,93,27
41,30,71
81,16,0
87,10,0
81,76,60
58,84,45
10,90,3
93,6,2
9,95,7
17,64,81
91,15,9
71,96,70
77,22,2
19,86,8
51,8,59
4,80,84
22,15,37
80,89,72
92,17,12
14,49,63
19,48,67
4,81,85
8,85,93
31,32,63
24,32,56
61,0,61
28,8,36
75,2,77
29,48,77
2,64,66
19,8,27
85,51,39
26,63,89
40,77,20
58,31,89
10,1,11
29,67,96
86,16,5
93,35,31
27,0,27
85,54,42
69,52,24
45,32,77
66,25,91
63,42,8
72,5,77
78,62,43
75,25,3
11,19,30
91,87,81
86,94,83
60,4,64
70,25,95
46,89,38
55,95,53
34,40,74
53,24,77
28,12,40
78,7,85
86,42,31
72,88,63
18,85,6
20,25,45
8,65,73
81,41,25
27,2,29
92,28,23
31,94,28
61,65,29
26,28,54
2,35,37
38,44,82
23,22,45
12,20,32
93,70,66
87,17,7
12,27,39
88,94,85
50,85,38
31,73,7
81,1,82
32,92,27
95,4,2
21,5,26
36,92,31
57,0,57
87,51,41
62,3,65
16,11,27
96,39,38
60,41,4
26,18,44
67,39,9
35,43,78
12,92,7
29,60,89
51,75,29
64,5,69
20,47,67
86,44,33
85,95,83
90,46,39
70,84,57
4,33,37
40,60,3
65,16,81
30,33,63
12,1,13
91,88,82
29,8,37
31,4,35
46,15,61
58,58,19
4,95,2
11,71,82
96,21,20
17,38,55
53,81,37
67,87,57
30,11,41
91,54,48
32,94,29
94,9,6
76,93,72
77,10,87
68,84,55
86,7,93
20,89,12
94,80,77
40,3,43
3,88,91
91,21,15
42,40,82
9,0,9
19,9,28
83,34,20
45,38,83
78,83,64
40,29,69
51,57,11
70,68,41
74,24,1
16,48,64
20,37,57
45,11,56
76,12,88
80,74,57
11,49,60
45,94,42
28,54,82
12,74,86
49,2,51
5,84,89
69,58,30
64,57,24
39,0,39
15,46,61
61,60,24
76,82,61
87,9,96
96,18,17
51,64,18
40,89,32
7,58,65
83,59,45
41,75,19
27,36,63
92,33,28
20,16,36
58,19,77
51,55,9
6,50,56
86,60,49
86,23,12
6,25,31
5,31,36
56,69,28
69,3,72
57,28,85
74,25,2
90,0,90
8,73,81
53,65,21
34,3,37
43,48,91
36,65,4
57,94,54
75,51,29
48,33,81
38,41,79
85,55,43
75,94,72
86,74,63
43,72,18
48,62,13
63,40,6
29,18,47
25,78,6
55,3,58
22,62,84
28,80,11
56,0,56
4,89,93
21,65,86
45,3,48
35,20,55
70,56,29
85,32,20
35,26,61
72,17,89
78,5,83
65,53,21
24,66,90
69,31,3
86,31,20
60,37,0
68,40,11
8,11,19
85,52,40
72,0,72
17,59,76
9,45,54
64,20,84
6,16,22
72,59,34
79,89,71
56,35,91
3,26,29
21,46,67
77,12,89
40,33,73
73,50,26
2,93,95
94,6,3
84,42,29
53,47,3
55,23,78
55,69,27
5,7,12
76,71,50
5,38,43
83,74,60
10,55,65
33,92,28
78,72,53
79,92,74
36,71,10
95,1,96
2,20,22
72,81,56
10,46,56
36,11,47
21,25,46
2,0,2
96,57,56
10,82,92
68,30,1
96,36,35
45,55,3
71,39,13
61,75,39
26,29,55
55,30,85
48,26,74
89,63,55
93,76,72
95,39,37
25,8,33
32,66,1
37,5,42
20,11,31
76,44,23
39,93,35
63,17,80
75,90,68
62,38,3
0,67,67
29,93,25
16,90,9
30,66,96
27,59,86
46,62,11
23,25,48
23,57,80
15,92,10
42,81,26
3,15,18
93,42,38
66,42,11
7,84,91
13,7,20
15,56,71
91,16,10
77,9,86
15,93,11
69,17,86
89,16,8
82,41,26
20,56,76
81,23,7
30,58,88
3,12,15
87,95,85
73,29,5
66,37,6
88,12,3
30,92,25
13,59,72
44,41,85
75,30,8
77,31,11
37,39,76
78,25,6
6,75,81
93,51,47
40,15,55
39,42,81
59,78,40
73,39,15
83,96,82
92,77,72
46,61,10
90,56,49
31,90,24
21,33,54
59,76,38
70,8,78
87,76,66
88,58,49
95,48,46
3,51,54
33,67,3
47,53,3
96,42,41
92,21,16
18,22,40
49,66,18
52,95,50
15,64,79
14,92,9
79,50,32
16,32,48
7,55,62
72,6,78
39,59,1
67,79,49
12,63,75
51,91,45
5,0,5
12,91,6
62,57,22
60,47,10
62,92,57
79,74,56
1,29,30
17,16,33
32,13,45
74,3,77
0,50,50
85,18,6
67,45,15
40,25,65
59,77,39
92,7,2
76,31,10
45,93,41
37,23,60
36,17,53
79,46,28
17,52,69
89,64,56
93,3,96
73,86,62
59,71,33
74,19,93
43,11,54
4,70,74
92,14,9
45,76,24
20,15,35
77,7,84
75,37,15
2,48,50
47,56,6
68,12,80
67,52,22
27,50,77
71,87,61
38,74,15
7,91,1
84,6,90
72,67,42
41,41,82
24,75,2
45,49,94
94,55,52
11,58,69
22,70,92
83,48,34
50,2,52
6,66,72
31,23,54
78,94,75
47,75,25
24,85,12
77,18,95
30,24,54
67,71,41
14,29,43
60,63,26
55,54,12
38,87,28
35,37,72
9,25,34
50,12,62
77,88,68
90,68,61
72,48,23
14,62,76
22,21,43
44,43,87
13,84,0
74,20,94
12,5,17
62,13,75
10,81,91
43,13,56
76,88,67
86,49,38
3,60,63
66,51,20
59,67,29
68,66,37
85,58,46
11,13,24
46,36,82
94,44,41
89,42,34
41,74,18
19,38,57
12,21,33
74,75,52
4,77,81
37,17,54
94,22,19
65,63,31
62,43,8
46,54,3
45,6,51
8,28,36
73,37,13
25,24,49
6,31,37
19,17,36
80,52,35
7,10,17
32,95,30
14,25,39
81,63,47
8,10,18
72,33,8
59,0,59
52,6,58
19,41,60
43,15,58
78,46,27
76,39,18
60,7,67
47,13,60
30,41,71
49,56,8
92,16,11
17,20,37
86,26,15
77,76,56
75,45,23
53,96,52
59,86,48
89,43,35
91,86,80
42,67,12
2,45,47
34,50,84
74,57,34
53,42,95
22,49,71
27,24,51
29,31,60
38,2,40
60,94,57
56,36,92
45,41,86
3,89,92
6,44,50
22,0,22
1,17,18
27,96,26
35,55,90
65,23,88
84,96,83
4,24,28
8,9,17
64,64,31
56,13,69
89,13,5
42,55,0
70,21,91
90,67,60
32,84,19
3,80,83
68,80,51
6,57,63
17,69,86
2,4,6
23,84,10
22,61,83
13,37,50
54,91,48
62,82,47
54,22,76
45,31,76
82,0,82
21,81,5
10,70,80
51,59,13
43,46,89
94,74,71
3,78,81
63,7,70
73,22,95
64,49,16
69,61,33
94,11,8
16,55,71
68,44,15
17,66,83
0,47,47
86,11,0
15,70,85
28,24,52
13,11,24
78,81,62
93,71,67
95,40,38
91,48,42
28,39,67
11,4,15
78,21,2
61,3,64
89,30,22
49,18,67
92,12,7
62,21,83
71,72,46
47,87,37
66,76,45
95,44,42
61,69,33
14,27,41
55,19,74
78,29,10
82,87,72
57,40,0
12,53,65
40,17,57
86,48,37
3,81,84
41,92,36
87,49,39
76,79,58
36,77,16
37,13,50
30,70,3
10,56,66
94,82,79
56,52,11
62,66,31
17,79,96
88,73,64
7,7,14
44,10,54
45,9,54
16,91,10
11,79,90
67,12,79
39,90,32
21,6,27
75,0,75
16,2,18
21,78,2
40,11,51
44,47,91
53,89,45
35,7,42
7,64,71
47,2,49
50,95,48
48,5,53
21,77,1
23,46,69
38,45,83
64,71,38
96,5,4
65,73,41
58,57,18
75,79,57
78,8,86
11,35,46
32,52,84
56,76,35
15,3,18
34,90,27
59,39,1
15,66,81
40,37,77
56,57,16
48,15,63
24,62,86
70,91,64
60,50,13
69,86,58
25,11,36
34,73,10
74,85,62
2,3,5
82,18,3
59,95,57
72,49,24
13,65,78
4,29,33
9,20,29
74,46,23
20,51,71
59,52,14
93,33,29
55,1,56
86,1,87
77,29,9
19,39,58
7,22,29
56,23,79
3,16,19
11,81,92
20,94,17
95,53,51
28,86,17
78,37,18
57,31,88
49,50,2
69,38,10
43,32,75
86,46,35
95,83,81
23,47,70
10,6,16
25,25,50
39,66,8
54,85,42
28,25,53
37,91,31
31,41,72
19,65,84
67,82,52
14,18,32
66,71,40
43,23,66
65,9,74
37,76,16
0,74,74
41,53,94
54,57,14
37,52,89
38,69,10
36,37,73
7,96,6
88,46,37
46,79,28
77,4,81
15,77,92
10,9,19
85,38,26
22,58,80
82,75,60
26,10,36
36,38,74
34,64,1
17,36,53
66,2,68
83,24,10
29,90,22
10,68,78
90,14,7
0,90,90
52,76,31
11,23,34
21,41,62
22,44,66
5,10,15
54,19,73
33,55,88
38,85,26
32,4,36
52,92,47
1,39,40
64,10,74
24,80,7
7,35,42
73,63,39
34,55,89
53,11,64
10,72,82
27,71,1
14,14,28
96,45,44
2,76,78
93,19,15
68,20,88
11,67,78
58,48,9
80,31,14
80,49,32
29,72,4
50,86,39
0,36,36
53,66,22
73,52,28
21,22,43
72,52,27
36,6,42
79,85,67
91,81,75
4,34,38
34,10,44
32,83,18
60,5,65
44,54,1
87,18,8
66,47,16
88,5,93
54,55,12
17,49,66
77,8,85
26,86,15
68,93,64
2,41,43
88,11,2
39,19,58
89,31,23
54,4,58
54,72,29
18,39,57
6,34,40
2,68,70
71,79,53
92,90,85
63,4,67
90,79,72
1,81,82
87,32,22
6,7,13
72,82,57
19,10,29
84,35,22
9,27,36
73,43,19
55,64,22
71,23,94
16,80,96
94,71,68
12,19,31
93,69,65
91,1,92
63,87,53
17,76,93
4,92,96
15,74,89
42,68,13
33,77,13
96,17,16
95,50,48
87,25,15
78,49,30
56,39,95
38,28,66
3,91,94
21,10,31
2,31,33
37,14,51
28,74,5
42,19,61
63,24,87
88,29,20
91,61,55
66,73,42
42,28,70
68,57,28
28,6,34
2,89,91
92,52,47
40,34,74
53,34,87
50,4,54
65,6,71
27,82,12
22,31,53
75,22,0
33,15,48
71,19,90
6,42,48
14,22,36
94,7,4
41,3,44
12,36,48
82,96,81
60,53,16
69,85,57
12,54,66
41,65,9
57,60,20
0,88,88
40,71,14
88,86,77
96,29,28
24,26,50
64,52,19
92,46,41
60,58,21
67,17,84
62,86,51
75,80,58
46,28,74
32,8,40
88,85,76
3,73,76
10,27,37
59,93,55
89,8,0
79,61,43
88,47,38
53,93,49
71,74,48
72,12,84
47,52,2
13,36,49
88,15,6
5,11,16
24,14,38
47,6,53
35,31,66
31,42,73
43,6,49
85,46,34
18,70,88
41,70,14
61,92,56
56,58,17
17,12,29
94,90,87
21,69,90
5,42,47
82,66,51
42,79,24
37,64,4
19,67,86
91,70,64
62,41,6
0,15,15
89,60,52
25,50,75
36,68,7
50,3,53
46,49,95
17,54,71
88,78,69
73,81,57
72,69,44
23,23,46
70,69,42
53,83,39
67,1,68
47,67,17
83,79,65
63,56,22
44,20,64
70,95,68
15,33,48
94,21,18
59,28,87
31,29,60
45,56,4
24,91,18
92,37,32
94,35,32
86,66,55
47,82,32
57,23,80
3,70,73
60,65,28
44,39,83
11,80,91
40,8,48
46,44,90
86,83,72
28,0,28
38,25,63
10,26,36
45,14,59
28,92,23
72,62,37
96,65,64
8,91,2
11,12,23
38,24,62
29,66,95
66,56,25
32,28,60
59,82,44
84,84,71
33,41,74
75,34,12
27,23,50
26,3,29
3,36,39
76,24,3
7,95,5
54,56,13
6,46,52
44,4,48
44,86,33
50,69,22
84,70,57
51,67,21
60,96,59
75,81,59
59,56,18
85,67,55
92,72,67
38,36,74
44,67,14
48,48,96
46,69,18
32,54,86
62,56,21
77,89,69
33,59,92
49,71,23
62,45,10
45,63,11
91,37,31
40,93,36
96,50,49
33,37,70
57,63,23
56,47,6
35,82,20
29,26,55
50,25,75
95,82,80
55,48,6
31,22,53
93,17,13
42,73,18
31,25,56
14,28,42
60,64,27
74,37,14
29,36,65
74,73,50
34,23,57
76,53,32
31,58,89
50,14,64
87,20,10
23,93,19
52,42,94
27,39,66
96,8,7
67,89,59
18,19,37
94,49,46
53,6,59
48,82,33
59,66,28
22,95,20
44,27,71
18,73,91
33,86,22
45,92,40
18,9,27
38,78,19
72,71,46
29,51,80
31,60,91
51,13,64
73,62,38
18,82,3
13,4,17
5,92,0
49,64,16
39,54,93
50,20,70
55,5,60
12,78,90
0,57,57
20,38,58
0,35,35
54,35,89
0,14,14
20,28,48
24,11,35
16,15,31
58,4,62
74,92,69
0,17,17
63,75,41
32,76,11
54,75,32
47,31,78
64,43,10
1,89,90
2,92,94
59,33,92
6,9,15
17,71,88
53,72,28
85,27,15
2,23,25
67,63,33
44,22,66
22,40,62
5,81,86
29,63,92
22,66,88
16,44,60
86,58,47
60,20,80
31,82,16
44,36,80
72,57,32
13,0,13
24,68,92
68,47,18
49,82,34
92,20,15
80,46,29
94,46,43
68,69,40
61,39,3
49,44,93
2,94,96
40,76,19
13,32,45
70,17,87
49,40,89
6,10,16
22,11,33
33,61,94
57,76,36
29,42,71
84,76,63
19,2,21
16,42,58
54,23,77
5,66,71
82,82,67
92,82,77
13,83,96
68,43,14
51,3,54
93,38,34
16,34,50
11,17,28
45,74,22
52,70,25
29,23,52
61,6,67
96,86,85
84,45,32
36,31,67
94,83,80
90,25,18
8,74,82
20,33,53
62,4,66
89,6,95
95,70,68
81,39,23
6,65,71
60,46,9
32,37,69
3,57,60
34,7,41
84,63,50
42,25,67
42,39,81
6,35,41
76,72,51
75,41,19
73,6,79
30,16,46
43,43,86
88,10,1
75,27,5
43,94,40
71,88,62
25,55,80
9,48,57
78,52,33
16,25,41
44,66,13
3,79,82
28,63,91
50,91,44
46,68,17
1,72,73
89,12,4
18,35,53
32,0,32
27,44,71
89,50,42
54,47,4
7,5,12
79,12,91
96,43,42
50,68,21
96,12,11
28,93,24
48,23,71
22,25,47
14,38,52
31,40,71
1,60,61
40,2,42
37,83,23
43,45,88
51,40,91
37,34,71
64,56,23
6,24,30
23,5,28
87,64,54
67,43,13
96,0,96
1,56,57
26,83,12
49,80,32
4,63,67
19,60,79
20,14,34
46,0,46
48,59,10
24,7,31
66,63,32
36,42,78
78,4,82
25,94,22
55,27,82
32,60,92
39,51,90
81,30,14
2,44,46
69,73,45
5,45,50
15,20,35
54,54,11
2,22,24
0,71,71
86,89,78
43,40,83
20,36,56
63,94,60
3,18,21
0,65,65
78,67,48
74,32,9
12,58,70
96,34,33
82,39,24
19,18,37
90,74,67
59,43,5
69,79,51
4,28,32
46,17,63
33,9,42
33,12,45
18,13,31
60,13,73
17,57,74
42,31,73
8,27,35
28,91,22
93,18,14
69,77,49
58,20,78
16,69,85
76,27,6
54,87,44
21,67,88
17,45,62
65,19,84
64,18,82
77,70,50
81,47,31
59,57,19
46,96,45
50,41,91
11,78,89
15,69,84
4,90,94
74,81,58
87,24,14
2,39,41
31,78,12
28,41,69
91,51,45
14,44,58
68,11,79
65,20,85
61,46,10
35,91,29
74,82,59
71,35,9
69,9,78
78,6,84
51,49,3
41,16,57
78,76,57
18,34,52
1,40,41
88,76,67
84,14,1
29,3,32
43,38,81
75,73,51
82,94,79
18,63,81
13,14,27
83,50,36
67,22,89
48,94,45
82,25,10
66,1,67
45,13,58
45,58,6
21,87,11
23,53,76
9,65,74
1,49,50
29,29,58
96,33,32
83,91,77
32,32,64
28,66,94
79,13,92
67,16,83
89,35,27
85,79,67
32,93,28
54,64,21
48,65,16
66,4,70
22,78,3
41,44,85
60,90,53
84,29,16
61,4,65
41,24,65
15,58,73
24,1,25
95,64,62
42,86,31
84,39,26
91,49,43
69,88,60
45,10,55
1,82,83
2,50,52
64,50,17
74,6,80
34,15,49
87,93,83
55,42,0
26,95,24
8,90,1
37,26,63
3,64,67
15,63,78
88,62,53
47,59,9
18,96,17
68,94,65
65,18,83
7,77,84
9,59,68
55,8,63
35,13,48
53,37,90
76,0,76
48,22,70
30,25,55
54,12,66
45,48,93
8,41,49
39,29,68
0,24,24
13,27,40
39,64,6
59,64,26
23,89,15
43,96,42
5,24,29
35,34,69
81,90,74
56,62,21
85,60,48
5,57,62
84,44,31
76,20,96
3,31,34
92,44,39
2,16,18
5,58,63
46,90,39
30,12,42
77,92,72
24,76,3
77,80,60
63,38,4
32,25,57
33,47,80
80,90,73
89,32,24
34,16,50
34,49,83
72,70,45
88,22,13
81,87,71
78,51,32
66,88,57
19,78,0
51,12,63
33,57,90
5,40,45
71,71,45
54,18,72
42,45,87
95,26,24
70,5,75
82,89,74
41,1,42
6,47,53
2,19,21
67,66,36
96,58,57
90,21,14
20,0,20
10,91,4
51,4,55
31,54,85
76,42,21
33,80,16
11,28,39
61,18,79
10,43,53
68,9,77
87,74,64
49,79,31
82,70,55
14,50,64
2,96,1
1,94,95
73,11,84
69,37,9
52,51,6
10,24,34
19,4,23
60,9,69
26,69,95
71,8,79
86,75,64
87,1,88
34,70,7
9,35,44
87,88,78
94,53,50
47,44,91
87,65,55
77,71,51
75,19,94
54,6,60
81,82,66
28,96,27
92,64,59
6,52,58
32,26,58
41,93,37
52,53,8
42,0,42
29,41,70
21,96,20
16,68,84
58,28,86
0,44,44
27,1,28
8,5,13
77,87,67
70,94,67
49,69,21
22,2,24
86,51,40
2,67,69
5,91,96
59,8,67
39,50,89
28,76,7
29,9,38
17,77,94
77,65,45
40,67,10
19,93,15
67,33,3
79,42,24
92,83,78
15,90,8
7,28,35
58,79,40
33,30,63
78,24,5
38,81,22
24,18,42
62,81,46
10,94,7
46,51,0
36,59,95
26,43,69
65,68,36
66,66,35
19,54,73
44,11,55
3,44,47
71,10,81
33,76,12
62,77,42
56,27,83
21,17,38
57,68,28
82,7,89
45,1,46
66,65,34
79,7,86
35,93,31
54,74,31
56,9,65
28,38,66
5,25,30
70,29,2
88,50,41
83,64,50
74,26,3
38,86,27
65,17,82
37,8,45
70,41,14
53,49,5
3,66,69
25,4,29
72,37,12
40,90,33
86,53,42
17,80,0
19,89,11
33,5,38
35,48,83
31,70,4
36,73,12
53,71,27
15,89,7
80,30,13
74,29,6
6,53,59
69,13,82
74,43,20
44,95,42
53,39,92
76,1,77
40,4,44
39,36,75
68,65,36
18,93,14
77,26,6
31,18,49
72,55,30
45,87,35
16,82,1
71,25,96
32,36,68
24,86,13
50,8,58
63,33,96
88,44,35
37,33,70
66,61,30
69,8,77
54,50,7
77,13,90
53,60,16
9,32,41
4,42,46
47,15,62
30,84,17
95,3,1
68,31,2
96,88,87
81,8,89
20,80,3
94,76,73
31,14,45
0,78,78
27,49,76
37,95,35
95,73,71
91,91,85
87,41,31
60,77,40
65,85,53
38,71,12
22,46,68
85,23,11
15,86,4
96,92,91
70,36,9
51,62,16
33,95,31
90,95,88
35,79,17
54,40,94
8,29,37
92,85,80
2,32,34
88,70,61
8,34,42
42,16,58
74,15,89
4,35,39
36,23,59
46,35,81
31,57,88
63,25,88
46,80,29
14,6,20
96,11,10
38,59,0
79,3,82
68,16,84
68,87,58
48,6,54
76,85,64
33,25,58
50,5,55
14,75,89
37,27,64
71,28,2
61,42,6
85,8,93
94,30,27
84,59,46
13,90,6
38,70,11
55,92,50
59,61,23
69,16,85
50,45,95
5,68,73
16,27,43
47,12,59
79,9,88
11,47,58
61,8,69
90,22,15
51,47,1
57,19,76
84,89,76
34,44,78
10,77,87
92,88,83
51,79,33
18,8,26
84,37,24
49,27,76
32,82,17
54,8,62
89,53,45
47,26,73
86,27,16
6,20,26
61,91,55
21,40,61
39,72,14
3,10,13
80,58,41
34,42,76
47,18,65
76,57,36
17,55,72
92,32,27
48,11,59
0,81,81
30,44,74
93,26,22
6,39,45
13,17,30
20,4,24
49,14,63
88,53,44
96,96,95
0,16,16
32,47,79
86,81,70
49,74,26
43,47,90
76,33,12
11,29,40
73,0,73
29,83,15
8,23,31
21,92,16
47,61,11
86,93,82
48,49,0
41,46,87
9,80,89
44,26,70
68,4,72
80,28,11
23,78,4
29,86,18
21,20,41
39,24,63
41,25,66
69,47,19
30,42,72
28,90,21
8,32,40
84,18,5
12,65,77
82,22,7
19,6,25
95,46,44
78,65,46
26,57,83
18,52,70
90,82,75
3,62,65
76,70,49
58,56,17
64,93,60
78,70,51
40,5,45
81,3,84
86,78,67
93,9,5
11,82,93
66,96,65
72,42,17
44,55,2
61,67,31
54,7,61
63,14,77
80,41,24
4,69,73
85,14,2
84,5,89
58,74,35
1,8,9
77,1,78
52,11,63
50,53,6
26,13,39
11,26,37
42,52,94
50,59,12
78,18,96
22,30,52
8,79,87
61,10,71
28,62,90
44,38,82
11,18,29
81,10,91
72,93,68
65,62,30
90,28,21
35,11,46
36,16,52
84,82,69
90,41,34
16,89,8
3,41,44
88,27,18
57,5,62
14,11,25
40,32,72
75,14,89
54,73,30
95,95,93
4,36,40
58,54,15
71,57,31
1,21,22
65,35,3
75,38,16
58,45,6
24,64,88
55,51,9
44,3,47
78,53,34
35,30,65
4,67,71
77,14,91
22,91,16
19,51,70
2,10,12
19,75,94
90,73,66
54,15,69
7,17,24
16,12,28
86,4,90
57,14,71
76,90,69
15,32,47
3,46,49
38,55,93
87,50,40
59,18,77
72,53,28
66,29,95
89,87,79
13,53,66
64,42,9
45,30,75
0,28,28
60,3,63
43,69,15
10,13,23
38,17,55
26,62,88
28,69,0
95,74,72
87,37,27
40,16,56
90,80,73
32,50,82
65,92,60
33,4,37
31,44,75
14,48,62
94,17,14
52,73,28
41,94,38
61,59,23
43,66,12
15,11,26
33,27,60
60,17,77
45,57,5
94,92,89
75,57,35
41,11,52
74,22,96
9,6,15
2,12,14
8,8,16
94,5,2
47,90,40
33,89,25
90,59,52
50,49,2
39,89,31
66,28,94
22,83,8
5,55,60
79,41,23
30,21,51
12,33,45
37,11,48
30,72,5
63,13,76
48,69,20
31,45,76
87,22,12
76,83,62
47,21,68
1,77,78
94,51,48
83,11,94
40,40,80
85,56,44
70,90,63
0,87,87
28,10,38
1,9,10
12,6,18
56,67,26
67,78,48
35,68,6
14,2,16
46,86,35
56,61,20
40,92,35
60,60,23
68,60,31
46,66,15
91,71,65
21,15,36
23,73,96
0,1,1
42,32,74
71,61,35
21,36,57
66,52,21
79,22,4
47,43,90
75,43,21
57,39,96
26,49,75
79,55,37
79,86,68
23,9,32
30,52,82
8,13,21
19,66,85
85,87,75
48,8,56
87,26,16
44,31,75
20,58,78
88,24,15
45,8,53
65,41,9
84,36,23
3,59,62
51,82,36
56,95,54
77,21,1
73,18,91
82,8,90
84,9,93
47,10,57
52,47,2
38,82,23
13,41,54
19,1,20
87,39,29
0,58,58
83,54,40
52,22,74
84,10,94
88,48,39
96,49,48
11,73,84
58,55,16
38,11,49
78,61,42
0,93,93
85,41,29
19,32,51
58,30,88
94,26,23
3,83,86
95,69,67
91,41,35
72,60,35
3,90,93
42,33,75
39,45,84
75,39,17
63,22,85
69,42,14
89,83,75
89,85,77
71,12,83
71,47,21
20,55,75
38,72,13
22,60,82
15,28,43
1,41,42
83,26,12
46,37,83
87,85,75
16,51,67
2,95,0
28,73,4
88,67,58
61,15,76
48,84,35
25,48,73
84,30,17
92,27,22
91,35,29
84,40,27
7,1,8
79,8,87
7,53,60
85,62,50
78,85,66
56,28,84
50,26,76
1,6,7
11,36,47
68,85,56
50,22,72
16,30,46
86,14,3
71,11,82
75,77,55
73,44,20
95,22,20
